satfreq; #58A6FF

2217500000; CloudSat CPR; Demod Off; 0; satfreq
1691000000; Elektro-L N3 LRIT; Demod Off; 0; satfreq
1691000000; Elektro-L N3 HRIT; Demod Off; 0; satfreq
1693000000; Elektro-L N3 GGAK; Demod Off; 0; satfreq
1697000000; Elektro-L N3 DCP; Demod Off; 0; satfreq
7500000000; Elektro-L N3 RDAS; Demod Off; 0; satfreq
1701300000; MetOp-C HRPT; Demod Off; 0; satfreq
7820000000; FengYun-3D HRPT; Demod Off; 0; satfreq
4507000000; INSAT-3D S&R TRSP; Demod Off; 0; satfreq
4506050000; INSAT-3D DRT; Demod Off; 0; satfreq
4781000000; INSAT-3D Imager; Demod Off; 0; satfreq
4798000000; INSAT-3D Sounder; Demod Off; 0; satfreq
137100000; NOAA-19 APT; Demod Off; 0; satfreq
137770000; NOAA-19 DSB; Demod Off; 0; satfreq
1544500000; NOAA-19 S&R PDS; Demod Off; 0; satfreq
1544500000; NOAA-19 S&R TRSP; Demod Off; 0; satfreq
1698000000; NOAA-19 HRPT; Demod Off; 0; satfreq
1702500000; NOAA-19 GAC; Demod Off; 0; satfreq
1544500000; Meteor-M N2-2 S&R PDS; Demod Off; 0; satfreq
1544500000; Meteor-M N2-2 S&R TRSP; Demod Off; 0; satfreq
1700000000; Meteor-M N2-2 HRPT; Demod Off; 0; satfreq
1698400000; SARAL DCS; Demod Off; 0; satfreq
7860000000; FengYun-3E HRPT; Demod Off; 0; satfreq
1687500000; FengYun-2H S-VISSR; Demod Off; 0; satfreq
1702500000; FengYun-2H TLM; Demod Off; 0; satfreq
7790000000; FengYun-3G HRPT; Demod Off; 0; satfreq
1704000000; Yunhai 1 Encrypted data; Demod Off; 0; satfreq
1704000000; Yunhai 1-02 Encrypted data; Demod Off; 0; satfreq
137100000; Meteor-M N2 LRPT; Demod Off; 0; satfreq
1700000000; Meteor-M N2 HRPT; Demod Off; 0; satfreq
137200000; ORBCOMM S-1; Demod Off; 0; satfreq
137225000; ORBCOMM S-2; Demod Off; 0; satfreq
137250000; ORBCOMM S-3; Demod Off; 0; satfreq
137287500; ORBCOMM S-11; Demod Off; 0; satfreq
137312500; ORBCOMM S-12; Demod Off; 0; satfreq
137440000; ORBCOMM S-4; Demod Off; 0; satfreq
137460000; ORBCOMM S-5; Demod Off; 0; satfreq
137560000; ORBCOMM Gateway; Demod Off; 0; satfreq
137662500; ORBCOMM S-6; Demod Off; 0; satfreq
137687500; ORBCOMM S-7; Demod Off; 0; satfreq
137712500; ORBCOMM S-8; Demod Off; 0; satfreq
137737500; ORBCOMM S-9; Demod Off; 0; satfreq
137800000; ORBCOMM S-10; Demod Off; 0; satfreq
1698400000; ANGELS DCS; Demod Off; 0; satfreq
10489750000; Es'Hail-2 NB TRSP; Demod Off; 0; satfreq
10503000000; Es'Hail-2 WB TRSP; Demod Off; 0; satfreq
137350000; NOAA-18 DSB; Demod Off; 0; satfreq
137912500; NOAA-18 APT; Demod Off; 0; satfreq
1544500000; NOAA-18 S&R PDS; Demod Off; 0; satfreq
1544500000; NOAA-18 S&R TRSP; Demod Off; 0; satfreq
1698000000; NOAA-18 GAC; Demod Off; 0; satfreq
1702500000; NOAA-18 GAC; Demod Off; 0; satfreq
1707000000; NOAA-18 HRPT; Demod Off; 0; satfreq
7865000000; Arktika-M N1 RDAS; Demod Off; 0; satfreq
8160000000; AQUA DB; Demod Off; 0; satfreq
130167000; ISS Crew Voice; Demod Off; 0; satfreq
143625000; ISS Crew Voice; Demod Off; 0; satfreq
145800000; ISS Crew Voice; Demod Off; 0; satfreq
145800000; ISS SSTV; Demod Off; 0; satfreq
145825000; ISS APRS; Demod Off; 0; satfreq
437550000; ISS APRS; Demod Off; 0; satfreq
437800000; ISS V/U TRSP; Demod Off; 0; satfreq
1694100000; GOES-17 HRIT; Demod Off; 0; satfreq
1693000000; GOES-17 CDA; Demod Off; 0; satfreq
2235000000; PROBA-1 PD; Demod Off; 0; satfreq
8220000000; GOES-16 Raw Data Link; Demod Off; 0; satfreq
1694100000; GOES-16 HRIT; Demod Off; 0; satfreq
1693000000; GOES-16 CDA; Demod Off; 0; satfreq
1676000000; GOES-13 Imager SD; Demod Off; 0; satfreq
1676000000; GOES-13 Sounder SD; Demod Off; 0; satfreq
1685700000; GOES-13 PDR/GVAR; Demod Off; 0; satfreq
2235000000; PROBA-2 PD; Demod Off; 0; satfreq
1693000000; Elektro-L N2 GGAK; Demod Off; 0; satfreq
1697000000; Elektro-L N2 DCP; Demod Off; 0; satfreq
7500000000; Elektro-L N2 RDAS; Demod Off; 0; satfreq
137350000; NOAA-15 DSB; Demod Off; 0; satfreq
137620000; NOAA-15 APT; Demod Off; 0; satfreq
1544500000; NOAA-15 S&R PDS; Demod Off; 0; satfreq
1544500000; NOAA-15 S&R TRSP; Demod Off; 0; satfreq
1702500000; NOAA-15 HRPT; Demod Off; 0; satfreq
8160000000; AURA DB; Demod Off; 0; satfreq
2221500000; Coriolis WindSat; Demod Off; 0; satfreq
1701400000; FengYun-3C HRPT; Demod Off; 0; satfreq
1544500000; MetOp-B S&R TRSP; Demod Off; 0; satfreq
1701300000; MetOp-B HRPT; Demod Off; 0; satfreq
